id1,id2,pair_id,true_class,predicted_class,score_S
CHEBI_62883,CHEBI_62882,CHEBI_62882_CHEBI_62883,Diastereomers,Diastereomers,100.0
CHEBI_142498,CHEBI_171894,CHEBI_142498_CHEBI_171894,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_177907,CHEBI_15948,CHEBI_15948_CHEBI_177907,Diastereomers,Diastereomers,75.0
CHEBI_144384,CHEBI_144379,CHEBI_144379_CHEBI_144384,Enantiomers,Stereo-resolution pairs,100.0
CHEBI_133128,CHEBI_133122,CHEBI_133122_CHEBI_133128,Protomers,Protomers,95.0
CHEBI_9190,CHEBI_145043,CHEBI_145043_CHEBI_9190,Protomers,Protomers,92.0
CHEBI_148567,CHEBI_40896,CHEBI_148567_CHEBI_40896,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_75528,CHEBI_75529,CHEBI_75528_CHEBI_75529,Enantiomers,Enantiomers,100.0
CHEBI_133097,CHEBI_133096,CHEBI_133096_CHEBI_133097,Protomers,Protomers,92.0
CHEBI_212961,CHEBI_212951,CHEBI_212951_CHEBI_212961,Diastereomers,Diastereomers,76.0
CHEBI_218345,CHEBI_218309,CHEBI_218309_CHEBI_218345,Diastereomers,Diastereomers,100.0
CHEBI_229940,CHEBI_47903,CHEBI_229940_CHEBI_47903,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_59336,CHEBI_59334,CHEBI_59334_CHEBI_59336,Enantiomers,Enantiomers,100.0
CHEBI_300,CHEBI_128,CHEBI_128_CHEBI_300,Enantiomers,Enantiomers,100.0
CHEBI_234323,CHEBI_88950,CHEBI_234323_CHEBI_88950,Protomers,Protomers,86.0
CHEBI_106936,CHEBI_123855,CHEBI_106936_CHEBI_123855,Diastereomers,Stereo-resolution pairs,80.0
CHEBI_32740,CHEBI_32736,CHEBI_32736_CHEBI_32740,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_48005,CHEBI_58731,CHEBI_48005_CHEBI_58731,Protomers,Protomers,85.0
CHEBI_29090,CHEBI_17342,CHEBI_17342_CHEBI_29090,Enantiomers,Enantiomers,100.0
CHEBI_70480,CHEBI_70479,CHEBI_70479_CHEBI_70480,Diastereomers,Diastereomers,100.0
CHEBI_38342,CHEBI_39737,CHEBI_38342_CHEBI_39737,Enantiomers,Enantiomers,100.0
CHEBI_39458,CHEBI_39461,CHEBI_39458_CHEBI_39461,Enantiomers,Enantiomers,100.0
CHEBI_67577,CHEBI_141396,CHEBI_141396_CHEBI_67577,Protomers,Protomers,63.0
CHEBI_58696,CHEBI_42646,CHEBI_42646_CHEBI_58696,Protomers,Protomers,92.0
CHEBI_138256,CHEBI_138934,CHEBI_138256_CHEBI_138934,Protomers,Protomers,91.0
CHEBI_83210,CHEBI_83209,CHEBI_83209_CHEBI_83210,Enantiomers,Enantiomers,100.0
CHEBI_133701,CHEBI_64414,CHEBI_133701_CHEBI_64414,Protomers,Protomers,90.0
CHEBI_78416,CHEBI_78418,CHEBI_78416_CHEBI_78418,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_88096,CHEBI_90165,CHEBI_88096_CHEBI_90165,Protomers,Protomers,95.0
CHEBI_147943,CHEBI_150031,CHEBI_147943_CHEBI_150031,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_181027,CHEBI_199700,CHEBI_181027_CHEBI_199700,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_141487,CHEBI_141489,CHEBI_141487_CHEBI_141489,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_55353,CHEBI_16717,CHEBI_16717_CHEBI_55353,Diastereomers,Diastereomers,78.0
CHEBI_9479,CHEBI_142526,CHEBI_142526_CHEBI_9479,Protomers,Protomers,91.0
CHEBI_86001,CHEBI_28679,CHEBI_28679_CHEBI_86001,Protomers,Protomers,90.0
CHEBI_186405,CHEBI_3570,CHEBI_186405_CHEBI_3570,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_101150,CHEBI_98680,CHEBI_101150_CHEBI_98680,Diastereomers,Diastereomers,100.0
CHEBI_68852,CHEBI_70739,CHEBI_68852_CHEBI_70739,Protomers,Protomers,91.0
CHEBI_75848,CHEBI_75583,CHEBI_75583_CHEBI_75848,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_17774,CHEBI_30531,CHEBI_17774_CHEBI_30531,Protomers,Protomers,93.0
CHEBI_68506,CHEBI_67158,CHEBI_67158_CHEBI_68506,Enantiomers,Enantiomers,100.0
CHEBI_138244,CHEBI_138246,CHEBI_138244_CHEBI_138246,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_58244,CHEBI_17711,CHEBI_17711_CHEBI_58244,Protomers,Protomers,93.0
CHEBI_38562,CHEBI_5136,CHEBI_38562_CHEBI_5136,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_59217,CHEBI_554446,CHEBI_554446_CHEBI_59217,Protomers,Protomers,96.0
CHEBI_225245,CHEBI_225249,CHEBI_225245_CHEBI_225249,Diastereomers,Diastereomers,100.0
CHEBI_51032,CHEBI_51036,CHEBI_51032_CHEBI_51036,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_94331,CHEBI_9927,CHEBI_94331_CHEBI_9927,Stereo-resolution pairs,Stereo-resolution pairs,93.0
