id1,id2,pair_id,true_class,predicted_class,score_S,true_norm,pred_norm
CHEBI_96701,CHEBI_96311,CHEBI_96311_CHEBI_96701,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_111724,CHEBI_108778,CHEBI_108778_CHEBI_111724,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_70040,CHEBI_70041,CHEBI_70040_CHEBI_70041,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_119491,CHEBI_119581,CHEBI_119491_CHEBI_119581,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_96407,CHEBI_96689,CHEBI_96407_CHEBI_96689,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_127728,CHEBI_128310,CHEBI_127728_CHEBI_128310,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_124957,CHEBI_125947,CHEBI_124957_CHEBI_125947,Diastereomers,Stereo-resolution pairs,78.0,diastereomer,stereo_resolution
CHEBI_129809,CHEBI_130013,CHEBI_129809_CHEBI_130013,Diastereomers,Stereo-resolution pairs,82.0,diastereomer,stereo_resolution
CHEBI_129844,CHEBI_130362,CHEBI_129844_CHEBI_130362,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_48940,CHEBI_48941,CHEBI_48940_CHEBI_48941,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_146140,CHEBI_15717,CHEBI_146140_CHEBI_15717,Diastereomers,Stereo-resolution pairs,88.0,diastereomer,stereo_resolution
CHEBI_26,CHEBI_2317,CHEBI_2317_CHEBI_26,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_130786,CHEBI_128921,CHEBI_128921_CHEBI_130786,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_128618,CHEBI_127513,CHEBI_127513_CHEBI_128618,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_201837,CHEBI_210516,CHEBI_201837_CHEBI_210516,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_127318,CHEBI_129565,CHEBI_127318_CHEBI_129565,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_130730,CHEBI_127475,CHEBI_127475_CHEBI_130730,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_130831,CHEBI_127674,CHEBI_127674_CHEBI_130831,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_129152,CHEBI_126055,CHEBI_126055_CHEBI_129152,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_200301,CHEBI_200741,CHEBI_200301_CHEBI_200741,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_215189,CHEBI_204084,CHEBI_204084_CHEBI_215189,Diastereomers,Stereo-resolution pairs,88.0,diastereomer,stereo_resolution
CHEBI_108909,CHEBI_108863,CHEBI_108863_CHEBI_108909,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
