identity_key_strict	n_members	n_raw_forms	formula	formal_charge	members
C/C=C(\C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](CC=C(C)[C@H](OC(=O)C(C)C)[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)[C@H](O)C[C@@H]1C	1	1	C38H54O10	0.0	CHEBI_216629
C/C=C(\C)[C@H]1[C@@H](/C=C/C=C(\C)[C@@H](O)[C@@H](C)CO)[C@@H]2C[C@@H](OC(=O)Cc3ccccc3)[C@](C)(O)C[C@H]2[C@@H]2O[C@@]21C	1	1	C33H46O6	0.0	CHEBI_226223
C/C=C(\C)c1cc(O)c(C)c(OC(=O)c2c(O)c(C)c(O)c(Cl)c2/C(C)=C/C)c1	1	1	C23H25ClO5	0.0	CHEBI_201987
C/C=C(\C=C(C)\C=C(C)\C=C\C=C(/C)C(=O)[C@@]1(O)C(=O)N[C@@]2(CCO)O[C@@H]12)C(=O)OC	1	1	C23H29NO7	0.0	CHEBI_205556
C/C=C(\CC)CO	1	1	C6H12O	0.0	CHEBI_9878
C/C=C(\NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C1CSCCC(N)C(=O)N/C(=C\C)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)N1)C(C)C)C(C)C)C(C)CC)C(C)CC)C(C)CC)C(=O)NC(C)C(=O)NC1CSCC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(C(C)CC)NC(=O)C(CCCCN)NC(=O)C(C(C)CC)NC1=O	1	1	C91H156N22O21S2	0.0	CHEBI_221287
C/C=C(\NC(=O)CNC(=O)C(C)(O)C(O)/C=C\C(C)=C\C(C)CC)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]1C(=O)N[C@H](COC)C(=O)NCC(=O)N[C@@H](C)C(=O)N(C)[C@@H]([C@@H](C)O)C(=O)N[C@H]([C@H](OC)c2ccc(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2)C(=O)N2CC[C@H](Cl)C[C@H]2C(=O)O[C@@H]1C(C)C)[C@@H](C)[C@@H](C)C(N)=O)[C@H](C)N	1	1	C72H112ClN13O24	0.0	CHEBI_68403
C/C=C/C(=O)NC1=CC=C2[C@H](O)CN2C(=O)O1	1	1	C11H12N2O4	0.0	CHEBI_220634
C/C=C/C/C=C/CC(=O)NCC(=O)O	1	1	C10H15NO3	0.0	CHEBI_193292
C/C=C/C1=C(CC[C@@]2(C)C[C@@H](O)C(=O)O2)COC1=O	1	1	C14H18O5	0.0	CHEBI_225216
C/C=C/C1=C(CC[C@]2(C)C[C@@H](O)C(=O)O2)COC1=O	1	1	C14H18O5	0.0	CHEBI_223341
C/C=C/C1=CC2=CC(=O)[C@](C)(OC(=O)c3c(C)c(Cl)c(O)c(Cl)c3OC)[C@@H](O)[C@@H]2CO1	1	1	C22H22Cl2O7	0.0	CHEBI_214679
C/C=C/C1=CC2=CC(=O)[C@]3(C)OC(CCCCCCC)(OC)C[C@@H]3C2=CO1	1	1	C23H32O4	0.0	CHEBI_198499
C/C=C/C1=CC=C/C(=C2/C(=O)CNC2=O)O1	1	1	C12H11NO3	0.0	CHEBI_197578
C/C=C/C=C/C(=O)c1cc(C=O)c(OC)cc1O	1	1	C14H14O4	0.0	CHEBI_218291
C/C=C/C=C/C(O)=C1\C[C@](C)(O)[C@]2(O)O[C@@]3(C)C(=O)C(C)=C(O)/C(=C(O)/C=C/C=C/C)[C@H]3[C@]2(C)C1=O	1	1	C28H34O8	0.0	CHEBI_214999
C/C=C/C=C/C=C/C(=O)C(C)[C@@H](O)CCO	1	1	C13H20O3	0.0	CHEBI_156316
C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C(C)[C@](O)(C=O)[C@@]2(C)CCCC(C)(C)[C@H]12	1	1	C23H32O4	0.0	CHEBI_223014
C/C=C/C=C/C=C/C=C/C=O	1	1	C10H12O	0.0	CHEBI_165517
C/C=C/C=C/C=C1/C=C(CCC(=O)O)C(=O)OC1	1	1	C14H16O4	0.0	CHEBI_208652
C/C=C/C=C/C=C1\C=C(CCC(=O)O)C(=O)OC1	1	1	C14H16O4	0.0	CHEBI_200481
C/C=C/C=C/[C@@H]1C=C[C@@H]2C[C@H](C)CC[C@H]2[C@]1(C)C(O)=C1C(=O)N[C@@H](C(C)O)C1=O	1	1	C24H33NO4	0.0	CHEBI_203012
C/C=C/CCCCCCCCC	1	1	C12H24	0.0	CHEBI_88609
C/C=C/[C@@H]1C2C[C@]3(O)OC(C)(O2)C(=O)C1[C@H]3O	1	1	C12H16O5	0.0	CHEBI_219001
C/C=C/[C@@H]1C=C[C@@H]2C[C@@H](C)CC[C@@H]2[C@]1(C)/C(O)=C1\C(=O)[C@H](C(C)O)N(C)C1=O	1	1	C23H33NO4	0.0	CHEBI_204326
C/C=C/[C@@H]1O[C@H]([C@H](O)/C=C/C=C/C[C@H](/C=C(C)\C=C\[C@H]2CC=CC(=O)O2)CC)C[C@@H](O)[C@@H]1C	1	1	C28H40O5	0.0	CHEBI_224511
C/C=C/[C@H](O)C#N	1	1	C5H7NO	0.0	CHEBI_197357
C/C=C/[C@H](O)[C@H](O)c1ccccc1/C=C/C(=O)N[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CO)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](CO)C(=O)N[C@H](c2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](CC(C)C)C(=O)O[C@H]1C	1	1	C65H90N10O19	0.0	CHEBI_209655
C/C=C1/CN2CC[C@]3(O)c4ccccc4N4C=C(C(=O)OC)[C@H]1C[C@H]2[C@@]43O	1	1	C21H24N2O4	0.0	CHEBI_141867
C/C=C1/CN2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccccc14	1	1	C20H22N2O2	0.0	CHEBI_70499
C/C=C1/CN2[C@@H](C3C=C4[C@H]5C[C@@H]6N(CC[C@@]67c6ccccc6N(C3=O)[C@@H]47)C/C5=C/CO)C[C@]34c5ccccc5N5C(=O)C=C[C@H]([C@H]53)[C@H]1C[C@H]24	1	1	C42H42N4O3	0.0	CHEBI_181349
C/C=C1/CN2[C@@H]([C@@H]3C=C4[C@H]5C[C@@H]6N(CC[C@@]67c6ccccc6N(C3=O)[C@@H]47)C/C5=C/CO)C[C@]34c5ccccc5N5C(=O)C=C[C@H]([C@H]53)[C@H]1C[C@H]24	1	1	C42H42N4O3	0.0	CHEBI_141863
C/C=C1/C[N@+]2(C)CC[C@@]34c5ccccc5N[C@]32[C@@H](O)C[C@@H]1C4(CO)C(=O)OC	1	1	C22H29N2O4+	1.0	CHEBI_4751
C/C=C1/C[NH+]2CC[C@]34C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc1ccccc14	1	1	C20H23N2O2+	1.0	CHEBI_142754
C/C=C1/N(C)C(C)CC1(c1ccccc1)c1ccccc1	1	1	C20H23N	0.0	CHEBI_80645
C/C=C1/NC(=O)CC[C@H](C(=O)O)NC(=O)[C@@H](C)[C@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)C[C@H](C(=O)O)NC(=O)[C@H](CCc2ccc(O)cc2)NC(=O)[C@@H](C)NC1=O	1	1	C57H70N8O13	0.0	CHEBI_221176
