mnxparent_label,parent_label,mnxchild_label,child_label
MNXM1410132,chebi:228968,MNXM1410650,chebi:229742
MNXM1410178,chebi:229017,MNXM166593,chebi:156526
MNXM1410178,chebi:229017,MNXM732804,chebi:188014
MNXM1410226,chebi:229069,MNXM730181,chebi:87123
MNXM1410535,chebi:229490,MNXM1410536,chebi:229491
MNXM1410535,chebi:229490,MNXM1410537,chebi:229492
MNXM1410553,chebi:229510,MNXM1410549,chebi:229505
MNXM1410553,chebi:229510,MNXM1410550,chebi:229506
MNXM1410566,chebi:229533,MNXM1374627,chebi:183401
MNXM1410566,chebi:229533,MNXM1413439,chebi:44170
MNXM1410678,chebi:229831,MNXM1937,chebi:57304
MNXM1410806,chebi:230097,MNXM1129657,chebi:232203
MNXM1410806,chebi:230097,MNXM1412105,chebi:232277
MNXM1410871,chebi:230191,MNXM1410631,chebi:229712
MNXM1411058,chebi:230433,MNXM1105893,chebi:83053
MNXM1411273,chebi:230865,MNXM4531,chebi:17609
MNXM1411277,chebi:230869,MNXM737115,chebi:4344
MNXM1411474,chebi:231112,MNXM747826,chebi:145042
MNXM1411564,chebi:231223,MNXM1129659,chebi:232201
MNXM1411564,chebi:231223,MNXM1412102,chebi:232274
MNXM1411627,chebi:231311,MNXM49273,chebi:74274
MNXM1411667,chebi:231425,MNXM1411666,chebi:231424
MNXM1411667,chebi:231425,MNXM87433,chebi:231426
MNXM1411700,chebi:231472,MNXM1411126,chebi:230543
MNXM1411747,chebi:231594,MNXM1368679,chebi:6443
MNXM1411747,chebi:231594,MNXM49251,chebi:50900
MNXM1411822,chebi:231746,MNXM746644,chebi:141968
MNXM1411829,chebi:231764,MNXM2390,chebi:231766
MNXM1411901,chebi:231938,MNXM1104721,chebi:62075
MNXM1411901,chebi:231938,MNXM146686,chebi:74280
MNXM1411991,chebi:232155,MNXM1364093,chebi:183231
MNXM1412119,chebi:232300,MNXM76797,chebi:77137
MNXM1412141,chebi:232343,MNXM746726,chebi:142454
MNXM1412337,chebi:232659,MNXM1412568,chebi:233066
MNXM1412337,chebi:232659,MNXM1412569,chebi:233067
MNXM1412366,chebi:232756,MNXM1100890,chebi:67138
MNXM1412366,chebi:232756,MNXM1104529,chebi:57705
MNXM1412533,chebi:233009,MNXM1412532,chebi:233008
MNXM1412533,chebi:233009,MNXM1413447,chebi:47118
MNXM1412539,chebi:233017,MNXM1129448,chebi:175127
MNXM1412539,chebi:233017,MNXM1129451,chebi:175131
MNXM1412584,chebi:233090,MNXM89505,chebi:232371
MNXM1412637,chebi:233168,MNXM1128483,chebi:166778
MNXM1412637,chebi:233168,MNXM1130050,chebi:178080
MNXM1412729,chebi:233293,MNXM2685,chebi:27493
MNXM1412794,chebi:233435,MNXM1369752,chebi:133119
MNXM1412794,chebi:233435,MNXM488518,chebi:133464
MNXM1412844,chebi:233551,MNXM114695,chebi:176864
MNXM1412844,chebi:233551,MNXM98200,chebi:233540
MNXM1412879,chebi:233616,MNXM1412876,chebi:233612
MNXM1412879,chebi:233616,MNXM1412877,chebi:233613
MNXM1412916,chebi:233697,MNXM1413036,chebi:233872
MNXM1412930,chebi:233713,MNXM146988,chebi:78594
MNXM1412930,chebi:233713,MNXM164167,chebi:81469
MNXM1412930,chebi:233713,MNXM728915,chebi:78666
MNXM1412995,chebi:233815,MNXM33862,chebi:190383
MNXM1413102,chebi:233951,MNXM1412622,chebi:233134
MNXM1413102,chebi:233951,MNXM1413103,chebi:233952
MNXM1413104,chebi:233953,MNXM1412621,chebi:233133
MNXM1413104,chebi:233953,MNXM1413105,chebi:233954
MNXM1413109,chebi:233958,MNXM1413110,chebi:233959
MNXM1413109,chebi:233958,MNXM1413111,chebi:233960
MNXM1413119,chebi:233981,MNXM1104774,chebi:57292
MNXM1413320,chebi:234407,MNXM1413321,chebi:234409
MNXM1413320,chebi:234407,MNXM1413322,chebi:234410
MNXM1413336,chebi:234436,MNXM1413337,chebi:234441
MNXM1413336,chebi:234436,MNXM1413338,chebi:234442
MNXM1413336,chebi:234436,MNXM1413339,chebi:234443
MNXM1413336,chebi:234436,MNXM1413340,chebi:234444
MNXM1413365,chebi:234487,MNXM1413376,chebi:234520
MNXM1413365,chebi:234487,MNXM1413377,chebi:234521
MNXM14150,chebi:23671,MNXM48357,chebi:144636
MNXM14150,chebi:23671,MNXM529,chebi:57791
MNXM14150,chebi:23671,MNXM644,chebi:57609
MNXM14187,chebi:38263,MNXM142,chebi:57926
MNXM14187,chebi:38263,MNXM2125,chebi:58585
MNXM14187,chebi:38263,MNXM2514,chebi:57757
MNXM14187,chebi:38263,MNXM3246,chebi:58645
MNXM14259,chebi:133738,MNXM1412170,chebi:232386
MNXM14266,chebi:142230,MNXM746648,chebi:141994
MNXM14266,chebi:142230,MNXM746692,chebi:142229
MNXM14267,chebi:60630,MNXM48366,chebi:232385
MNXM14269,chebi:24744,MNXM2164,chebi:58458
MNXM14269,chebi:24744,MNXM2166,chebi:58430
MNXM14345,chebi:167926,MNXM97653,chebi:136550
MNXM14464,chebi:175873,MNXM1112889,chebi:146908
MNXM14464,chebi:175873,MNXM1113822,chebi:148215
MNXM14464,chebi:175873,MNXM1114034,chebi:148482
MNXM14464,chebi:175873,MNXM1115328,chebi:150347
