id_left,id_right,pairkey
CHEBI_19315,CHEBI_36532,CHEBI_19315__CHEBI_36532
CHEBI_19327,CHEBI_28990,CHEBI_19327__CHEBI_28990
CHEBI_36550,CHEBI_35962,CHEBI_35962__CHEBI_36550
CHEBI_36538,CHEBI_1135,CHEBI_1135__CHEBI_36538
CHEBI_19338,CHEBI_36554,CHEBI_19338__CHEBI_36554
CHEBI_36557,CHEBI_16394,CHEBI_16394__CHEBI_36557
CHEBI_36558,CHEBI_16116,CHEBI_16116__CHEBI_36558
CHEBI_36559,CHEBI_15793,CHEBI_15793__CHEBI_36559
CHEBI_20109,CHEBI_27440,CHEBI_20109__CHEBI_27440
CHEBI_36564,CHEBI_28609,CHEBI_28609__CHEBI_36564
CHEBI_17514,CHEBI_18407,CHEBI_17514__CHEBI_18407
CHEBI_16803,CHEBI_36555,CHEBI_16803__CHEBI_36555
CHEBI_18410,CHEBI_36575,CHEBI_18410__CHEBI_36575
CHEBI_18277,CHEBI_7091,CHEBI_18277__CHEBI_7091
CHEBI_1010,CHEBI_19450,CHEBI_1010__CHEBI_19450
CHEBI_11449,CHEBI_18281,CHEBI_11449__CHEBI_18281
CHEBI_22191,CHEBI_13711,CHEBI_13711__CHEBI_22191
CHEBI_14280,CHEBI_16729,CHEBI_14280__CHEBI_16729
CHEBI_22731,CHEBI_28759,CHEBI_22731__CHEBI_28759
CHEBI_28795,CHEBI_10589,CHEBI_10589__CHEBI_28795
CHEBI_36647,CHEBI_16725,CHEBI_16725__CHEBI_36647
CHEBI_36648,CHEBI_27990,CHEBI_27990__CHEBI_36648
CHEBI_36654,CHEBI_18026,CHEBI_18026__CHEBI_36654
CHEBI_19950,CHEBI_28647,CHEBI_19950__CHEBI_28647
CHEBI_10980,CHEBI_16003,CHEBI_10980__CHEBI_16003
CHEBI_8100,CHEBI_25998,CHEBI_25998__CHEBI_8100
CHEBI_27524,CHEBI_36665,CHEBI_27524__CHEBI_36665
CHEBI_15893,CHEBI_1372,CHEBI_1372__CHEBI_15893
CHEBI_19092,CHEBI_36781,CHEBI_19092__CHEBI_36781
CHEBI_16134,CHEBI_28938,CHEBI_16134__CHEBI_28938
CHEBI_13719,CHEBI_15365,CHEBI_13719__CHEBI_15365
CHEBI_29445,CHEBI_29778,CHEBI_29445__CHEBI_29778
CHEBI_36837,CHEBI_36833,CHEBI_36833__CHEBI_36837
CHEBI_30604,CHEBI_33114,CHEBI_30604__CHEBI_33114
CHEBI_29811,CHEBI_29813,CHEBI_29811__CHEBI_29813
CHEBI_29933,CHEBI_29928,CHEBI_29928__CHEBI_29933
CHEBI_29812,CHEBI_29818,CHEBI_29812__CHEBI_29818
CHEBI_33539,CHEBI_5587,CHEBI_33539__CHEBI_5587
CHEBI_32712,CHEBI_32713,CHEBI_32712__CHEBI_32713
CHEBI_29317,CHEBI_16503,CHEBI_16503__CHEBI_29317
CHEBI_30288,CHEBI_30292,CHEBI_30288__CHEBI_30292
CHEBI_30295,CHEBI_36924,CHEBI_30295__CHEBI_36924
CHEBI_36923,CHEBI_30294,CHEBI_30294__CHEBI_36923
CHEBI_32785,CHEBI_32784,CHEBI_32784__CHEBI_32785
CHEBI_32759,CHEBI_32763,CHEBI_32759__CHEBI_32763
