threshold,n_predictions_for_class,n_high_confidence,high_confidence_fraction,tp,fp,tn,fn,precision,recall,sensitivity,specificity,false_positive_rate,false_negative_rate,f1,balanced_accuracy,youden_j
53,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
54,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
55,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
56,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
57,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
58,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
59,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
60,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
61,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
62,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
63,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
64,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
65,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
66,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
67,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
68,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
69,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
70,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
71,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
72,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
73,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
74,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
75,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
76,2909,2894,0.994843588862152,2865,29,0,15,0.9899792674498963,0.9947916666666666,0.9947916666666666,0.0,1.0,0.005208333333333333,0.9923796328368548,0.4973958333333333,-0.00520833333333337
