id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_70584,CHEBI_70585,CHEBI_70584_CHEBI_70585,diastereomer,diastereomer,100.0,1
CHEBI_118955,CHEBI_119154,CHEBI_118955_CHEBI_119154,diastereomer,diastereomer,100.0,1
CHEBI_16980,CHEBI_29020,CHEBI_16980_CHEBI_29020,diastereomer,diastereomer,84.0,1
CHEBI_156943,CHEBI_152003,CHEBI_152003_CHEBI_156943,diastereomer,diastereomer,100.0,1
CHEBI_155,CHEBI_168,CHEBI_155_CHEBI_168,diastereomer,diastereomer,100.0,1
CHEBI_209318,CHEBI_209305,CHEBI_209305_CHEBI_209318,diastereomer,diastereomer,100.0,1
CHEBI_78412,CHEBI_35616,CHEBI_35616_CHEBI_78412,diastereomer,diastereomer,80.0,1
CHEBI_200292,CHEBI_203894,CHEBI_200292_CHEBI_203894,diastereomer,diastereomer,100.0,1
CHEBI_226292,CHEBI_226287,CHEBI_226287_CHEBI_226292,diastereomer,diastereomer,100.0,1
CHEBI_232096,CHEBI_90988,CHEBI_232096_CHEBI_90988,diastereomer,diastereomer,100.0,1
CHEBI_100089,CHEBI_102297,CHEBI_100089_CHEBI_102297,diastereomer,diastereomer,100.0,1
CHEBI_215688,CHEBI_215693,CHEBI_215688_CHEBI_215693,diastereomer,diastereomer,100.0,1
CHEBI_200809,CHEBI_222467,CHEBI_200809_CHEBI_222467,diastereomer,diastereomer,100.0,1
CHEBI_139138,CHEBI_182389,CHEBI_139138_CHEBI_182389,diastereomer,diastereomer,100.0,1
CHEBI_83081,CHEBI_83080,CHEBI_83080_CHEBI_83081,diastereomer,diastereomer,100.0,1
CHEBI_59621,CHEBI_61872,CHEBI_59621_CHEBI_61872,diastereomer,diastereomer,100.0,1
CHEBI_63872,CHEBI_42665,CHEBI_42665_CHEBI_63872,diastereomer,diastereomer,100.0,1
CHEBI_4938,CHEBI_708,CHEBI_4938_CHEBI_708,diastereomer,diastereomer,100.0,1
CHEBI_32537,CHEBI_32539,CHEBI_32537_CHEBI_32539,diastereomer,diastereomer,100.0,1
CHEBI_206359,CHEBI_206371,CHEBI_206359_CHEBI_206371,diastereomer,diastereomer,100.0,1
CHEBI_77809,CHEBI_78640,CHEBI_77809_CHEBI_78640,diastereomer,diastereomer,100.0,1
CHEBI_118024,CHEBI_118026,CHEBI_118024_CHEBI_118026,diastereomer,diastereomer,100.0,1
CHEBI_209537,CHEBI_209531,CHEBI_209531_CHEBI_209537,diastereomer,diastereomer,100.0,1
CHEBI_123586,CHEBI_123456,CHEBI_123456_CHEBI_123586,diastereomer,diastereomer,100.0,1
CHEBI_207234,CHEBI_227667,CHEBI_207234_CHEBI_227667,diastereomer,diastereomer,76.0,1
CHEBI_206811,CHEBI_206805,CHEBI_206805_CHEBI_206811,diastereomer,diastereomer,100.0,1
CHEBI_97613,CHEBI_97954,CHEBI_97613_CHEBI_97954,diastereomer,diastereomer,100.0,1
