id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_58989,CHEBI_454991,CHEBI_454991_CHEBI_58989,protomer,protomer,92.0,1
CHEBI_90887,CHEBI_90886,CHEBI_90886_CHEBI_90887,protomer,protomer,92.0,1
CHEBI_62249,CHEBI_62422,CHEBI_62249_CHEBI_62422,protomer,protomer,94.0,1
CHEBI_43997,CHEBI_193107,CHEBI_193107_CHEBI_43997,protomer,protomer,81.0,1
CHEBI_87778,CHEBI_87777,CHEBI_87777_CHEBI_87778,protomer,protomer,93.0,1
CHEBI_189700,CHEBI_16886,CHEBI_16886_CHEBI_189700,protomer,protomer,86.0,1
CHEBI_62238,CHEBI_62255,CHEBI_62238_CHEBI_62255,protomer,protomer,95.0,1
CHEBI_90220,CHEBI_90221,CHEBI_90220_CHEBI_90221,protomer,protomer,92.0,1
CHEBI_58219,CHEBI_17646,CHEBI_17646_CHEBI_58219,protomer,protomer,92.0,1
CHEBI_229978,CHEBI_230454,CHEBI_229978_CHEBI_230454,protomer,protomer,98.0,1
CHEBI_132042,CHEBI_132475,CHEBI_132042_CHEBI_132475,protomer,protomer,93.0,1
CHEBI_57296,CHEBI_15412,CHEBI_15412_CHEBI_57296,protomer,protomer,90.0,1
CHEBI_91234,CHEBI_127781,CHEBI_127781_CHEBI_91234,protomer,protomer,96.0,1
CHEBI_42820,CHEBI_30087,CHEBI_30087_CHEBI_42820,protomer,protomer,83.0,1
CHEBI_133438,CHEBI_133435,CHEBI_133435_CHEBI_133438,protomer,protomer,95.0,1
CHEBI_43088,CHEBI_60107,CHEBI_43088_CHEBI_60107,protomer,protomer,83.0,1
CHEBI_61698,CHEBI_61701,CHEBI_61698_CHEBI_61701,protomer,protomer,89.0,1
CHEBI_58871,CHEBI_51836,CHEBI_51836_CHEBI_58871,protomer,protomer,91.0,1
CHEBI_60877,CHEBI_27652,CHEBI_27652_CHEBI_60877,protomer,protomer,95.0,1
CHEBI_58279,CHEBI_17807,CHEBI_17807_CHEBI_58279,protomer,protomer,93.0,1
CHEBI_77132,CHEBI_77198,CHEBI_77132_CHEBI_77198,protomer,protomer,92.0,1
CHEBI_58803,CHEBI_49269,CHEBI_49269_CHEBI_58803,protomer,protomer,96.0,1
CHEBI_17225,CHEBI_58061,CHEBI_17225_CHEBI_58061,protomer,protomer,91.0,1
CHEBI_59759,CHEBI_42383,CHEBI_42383_CHEBI_59759,protomer,protomer,90.0,1
CHEBI_131650,CHEBI_131959,CHEBI_131650_CHEBI_131959,protomer,protomer,85.0,1
CHEBI_77734,CHEBI_77737,CHEBI_77734_CHEBI_77737,protomer,protomer,92.0,1
CHEBI_149836,CHEBI_142708,CHEBI_142708_CHEBI_149836,protomer,protomer,91.0,1
CHEBI_58174,CHEBI_17516,CHEBI_17516_CHEBI_58174,protomer,protomer,82.0,1
CHEBI_52428,CHEBI_52427,CHEBI_52427_CHEBI_52428,protomer,protomer,96.0,1
CHEBI_78209,CHEBI_79059,CHEBI_78209_CHEBI_79059,protomer,protomer,95.0,1
CHEBI_27959,CHEBI_140809,CHEBI_140809_CHEBI_27959,protomer,protomer,87.0,1
CHEBI_50115,CHEBI_14428,CHEBI_14428_CHEBI_50115,protomer,protomer,86.0,1
CHEBI_57650,CHEBI_16129,CHEBI_16129_CHEBI_57650,protomer,protomer,97.0,1
CHEBI_57642,CHEBI_16108,CHEBI_16108_CHEBI_57642,protomer,protomer,91.0,1
CHEBI_17968,CHEBI_30772,CHEBI_17968_CHEBI_30772,protomer,protomer,88.0,1
CHEBI_18357,CHEBI_72587,CHEBI_18357_CHEBI_72587,protomer,protomer,91.0,1
CHEBI_133967,CHEBI_53107,CHEBI_133967_CHEBI_53107,protomer,protomer,95.0,1
CHEBI_133676,CHEBI_82931,CHEBI_133676_CHEBI_82931,protomer,protomer,91.0,1
CHEBI_57455,CHEBI_15638,CHEBI_15638_CHEBI_57455,protomer,protomer,95.0,1
CHEBI_90908,CHEBI_90913,CHEBI_90908_CHEBI_90913,protomer,protomer,92.0,1
CHEBI_133536,CHEBI_133534,CHEBI_133534_CHEBI_133536,protomer,protomer,94.0,1
CHEBI_36241,CHEBI_36062,CHEBI_36062_CHEBI_36241,protomer,protomer,91.0,1
CHEBI_60094,CHEBI_26828,CHEBI_26828_CHEBI_60094,protomer,protomer,97.0,1
CHEBI_57417,CHEBI_15572,CHEBI_15572_CHEBI_57417,protomer,protomer,96.0,1
CHEBI_57977,CHEBI_16990,CHEBI_16990_CHEBI_57977,protomer,protomer,96.0,1
CHEBI_57914,CHEBI_16832,CHEBI_16832_CHEBI_57914,protomer,protomer,96.0,1
CHEBI_133191,CHEBI_133188,CHEBI_133188_CHEBI_133191,protomer,protomer,95.0,1
CHEBI_58002,CHEBI_17063,CHEBI_17063_CHEBI_58002,protomer,protomer,92.0,1
CHEBI_37563,CHEBI_17677,CHEBI_17677_CHEBI_37563,protomer,protomer,92.0,1
CHEBI_52064,CHEBI_6827,CHEBI_52064_CHEBI_6827,protomer,protomer,96.0,1
CHEBI_64790,CHEBI_64808,CHEBI_64790_CHEBI_64808,protomer,protomer,93.0,1
CHEBI_142823,CHEBI_142842,CHEBI_142823_CHEBI_142842,protomer,protomer,96.0,1
CHEBI_132003,CHEBI_132266,CHEBI_132003_CHEBI_132266,protomer,protomer,95.0,1
CHEBI_64934,CHEBI_64966,CHEBI_64934_CHEBI_64966,protomer,protomer,96.0,1
CHEBI_71993,CHEBI_5078,CHEBI_5078_CHEBI_71993,protomer,protomer,91.0,1
CHEBI_27730,CHEBI_32609,CHEBI_27730_CHEBI_32609,protomer,protomer,88.0,1
CHEBI_62086,CHEBI_62088,CHEBI_62086_CHEBI_62088,protomer,protomer,94.0,1
CHEBI_180657,CHEBI_184386,CHEBI_180657_CHEBI_184386,protomer,protomer,92.0,1
CHEBI_58868,CHEBI_51822,CHEBI_51822_CHEBI_58868,protomer,protomer,92.0,1
CHEBI_63832,CHEBI_63836,CHEBI_63832_CHEBI_63836,protomer,protomer,95.0,1
CHEBI_57575,CHEBI_15937,CHEBI_15937_CHEBI_57575,protomer,protomer,95.0,1
CHEBI_90879,CHEBI_90880,CHEBI_90879_CHEBI_90880,protomer,protomer,92.0,1
CHEBI_55537,CHEBI_55536,CHEBI_55536_CHEBI_55537,protomer,protomer,92.0,1
CHEBI_58537,CHEBI_27937,CHEBI_27937_CHEBI_58537,protomer,protomer,57.0,1
CHEBI_19984,CHEBI_49410,CHEBI_19984_CHEBI_49410,protomer,protomer,91.0,1
CHEBI_233173,CHEBI_207346,CHEBI_207346_CHEBI_233173,protomer,protomer,96.0,1
CHEBI_57628,CHEBI_16068,CHEBI_16068_CHEBI_57628,protomer,protomer,94.0,1
CHEBI_57552,CHEBI_15881,CHEBI_15881_CHEBI_57552,protomer,protomer,92.0,1
CHEBI_72343,CHEBI_72344,CHEBI_72343_CHEBI_72344,protomer,protomer,88.0,1
CHEBI_17126,CHEBI_3424,CHEBI_17126_CHEBI_3424,protomer,protomer,91.0,1
CHEBI_63945,CHEBI_63946,CHEBI_63945_CHEBI_63946,protomer,protomer,95.0,1
CHEBI_52960,CHEBI_52978,CHEBI_52960_CHEBI_52978,protomer,protomer,92.0,1
CHEBI_16181,CHEBI_57671,CHEBI_16181_CHEBI_57671,protomer,protomer,83.0,1
CHEBI_29987,CHEBI_14321,CHEBI_14321_CHEBI_29987,protomer,protomer,88.0,1
CHEBI_57465,CHEBI_15654,CHEBI_15654_CHEBI_57465,protomer,protomer,95.0,1
CHEBI_46915,CHEBI_15611,CHEBI_15611_CHEBI_46915,protomer,protomer,88.0,1
CHEBI_143957,CHEBI_32906,CHEBI_143957_CHEBI_32906,protomer,protomer,93.0,1
CHEBI_59863,CHEBI_4126,CHEBI_4126_CHEBI_59863,protomer,protomer,92.0,1
CHEBI_134054,CHEBI_136632,CHEBI_134054_CHEBI_136632,protomer,protomer,95.0,1
CHEBI_36557,CHEBI_16394,CHEBI_16394_CHEBI_36557,protomer,protomer,92.0,1
CHEBI_57656,CHEBI_16143,CHEBI_16143_CHEBI_57656,protomer,protomer,71.0,1
CHEBI_132252,CHEBI_132133,CHEBI_132133_CHEBI_132252,protomer,protomer,95.0,1
CHEBI_134278,CHEBI_136699,CHEBI_134278_CHEBI_136699,protomer,protomer,92.0,1
CHEBI_57633,CHEBI_16083,CHEBI_16083_CHEBI_57633,protomer,protomer,94.0,1
