id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_83179,CHEBI_83178,CHEBI_83178_CHEBI_83179,enantiomer,enantiomer,100.0,1
CHEBI_139042,CHEBI_139041,CHEBI_139041_CHEBI_139042,enantiomer,enantiomer,100.0,1
CHEBI_138363,CHEBI_138362,CHEBI_138362_CHEBI_138363,enantiomer,enantiomer,100.0,1
CHEBI_53129,CHEBI_53126,CHEBI_53126_CHEBI_53129,enantiomer,enantiomer,100.0,1
CHEBI_48336,CHEBI_47518,CHEBI_47518_CHEBI_48336,enantiomer,enantiomer,100.0,1
CHEBI_48603,CHEBI_48602,CHEBI_48602_CHEBI_48603,enantiomer,enantiomer,100.0,1
CHEBI_59302,CHEBI_59301,CHEBI_59301_CHEBI_59302,enantiomer,enantiomer,100.0,1
CHEBI_37535,CHEBI_37536,CHEBI_37535_CHEBI_37536,enantiomer,enantiomer,100.0,1
CHEBI_60955,CHEBI_63323,CHEBI_60955_CHEBI_63323,enantiomer,enantiomer,100.0,1
CHEBI_146296,CHEBI_17786,CHEBI_146296_CHEBI_17786,enantiomer,enantiomer,100.0,1
CHEBI_18314,CHEBI_28804,CHEBI_18314_CHEBI_28804,enantiomer,enantiomer,84.0,1
CHEBI_132303,CHEBI_132302,CHEBI_132302_CHEBI_132303,enantiomer,enantiomer,100.0,1
CHEBI_138332,CHEBI_34126,CHEBI_138332_CHEBI_34126,enantiomer,enantiomer,100.0,1
CHEBI_16083,CHEBI_112106,CHEBI_112106_CHEBI_16083,enantiomer,enantiomer,100.0,1
CHEBI_131956,CHEBI_67889,CHEBI_131956_CHEBI_67889,enantiomer,enantiomer,100.0,1
CHEBI_16206,CHEBI_48868,CHEBI_16206_CHEBI_48868,enantiomer,enantiomer,100.0,1
CHEBI_37626,CHEBI_42758,CHEBI_37626_CHEBI_42758,enantiomer,enantiomer,100.0,1
CHEBI_148418,CHEBI_152858,CHEBI_148418_CHEBI_152858,enantiomer,enantiomer,100.0,1
CHEBI_48344,CHEBI_47520,CHEBI_47520_CHEBI_48344,enantiomer,enantiomer,100.0,1
CHEBI_64316,CHEBI_64035,CHEBI_64035_CHEBI_64316,enantiomer,enantiomer,100.0,1
CHEBI_27913,CHEBI_16023,CHEBI_16023_CHEBI_27913,enantiomer,enantiomer,100.0,1
CHEBI_137346,CHEBI_137347,CHEBI_137346_CHEBI_137347,enantiomer,enantiomer,100.0,1
CHEBI_59707,CHEBI_59706,CHEBI_59706_CHEBI_59707,enantiomer,enantiomer,100.0,1
CHEBI_76101,CHEBI_76105,CHEBI_76101_CHEBI_76105,enantiomer,enantiomer,100.0,1
CHEBI_49109,CHEBI_15772,CHEBI_15772_CHEBI_49109,enantiomer,enantiomer,100.0,1
CHEBI_51510,CHEBI_51509,CHEBI_51509_CHEBI_51510,enantiomer,enantiomer,100.0,1
CHEBI_78836,CHEBI_137567,CHEBI_137567_CHEBI_78836,enantiomer,enantiomer,100.0,1
CHEBI_6178,CHEBI_79054,CHEBI_6178_CHEBI_79054,enantiomer,enantiomer,100.0,1
CHEBI_36776,CHEBI_15392,CHEBI_15392_CHEBI_36776,enantiomer,enantiomer,100.0,1
CHEBI_137486,CHEBI_137456,CHEBI_137456_CHEBI_137486,enantiomer,enantiomer,100.0,1
CHEBI_301,CHEBI_367,CHEBI_301_CHEBI_367,enantiomer,enantiomer,100.0,1
CHEBI_53769,CHEBI_53768,CHEBI_53768_CHEBI_53769,enantiomer,enantiomer,100.0,1
CHEBI_76139,CHEBI_76142,CHEBI_76139_CHEBI_76142,enantiomer,enantiomer,100.0,1
CHEBI_70507,CHEBI_142834,CHEBI_142834_CHEBI_70507,enantiomer,enantiomer,100.0,1
CHEBI_137349,CHEBI_137350,CHEBI_137349_CHEBI_137350,enantiomer,enantiomer,100.0,1
CHEBI_51857,CHEBI_51860,CHEBI_51857_CHEBI_51860,enantiomer,enantiomer,100.0,1
CHEBI_138437,CHEBI_85635,CHEBI_138437_CHEBI_85635,enantiomer,enantiomer,100.0,1
CHEBI_64006,CHEBI_75833,CHEBI_64006_CHEBI_75833,enantiomer,enantiomer,100.0,1
CHEBI_17399,CHEBI_17140,CHEBI_17140_CHEBI_17399,enantiomer,enantiomer,100.0,1
CHEBI_422,CHEBI_42111,CHEBI_42111_CHEBI_422,enantiomer,enantiomer,100.0,1
CHEBI_141611,CHEBI_141609,CHEBI_141609_CHEBI_141611,enantiomer,enantiomer,100.0,1
CHEBI_142830,CHEBI_142771,CHEBI_142771_CHEBI_142830,enantiomer,enantiomer,100.0,1
CHEBI_133315,CHEBI_133312,CHEBI_133312_CHEBI_133315,enantiomer,enantiomer,100.0,1
CHEBI_48280,CHEBI_48281,CHEBI_48280_CHEBI_48281,enantiomer,enantiomer,100.0,1
CHEBI_12931,CHEBI_53071,CHEBI_12931_CHEBI_53071,enantiomer,enantiomer,100.0,1
CHEBI_57466,CHEBI_133985,CHEBI_133985_CHEBI_57466,enantiomer,enantiomer,100.0,1
CHEBI_83140,CHEBI_83141,CHEBI_83140_CHEBI_83141,enantiomer,enantiomer,100.0,1
CHEBI_32751,CHEBI_32744,CHEBI_32744_CHEBI_32751,enantiomer,enantiomer,100.0,1
CHEBI_15657,CHEBI_134247,CHEBI_134247_CHEBI_15657,enantiomer,enantiomer,100.0,1
CHEBI_17780,CHEBI_43186,CHEBI_17780_CHEBI_43186,enantiomer,enantiomer,90.0,1
CHEBI_141479,CHEBI_141478,CHEBI_141478_CHEBI_141479,enantiomer,enantiomer,100.0,1
CHEBI_83603,CHEBI_83604,CHEBI_83603_CHEBI_83604,enantiomer,enantiomer,100.0,1
CHEBI_16712,CHEBI_48291,CHEBI_16712_CHEBI_48291,enantiomer,enantiomer,100.0,1
CHEBI_131935,CHEBI_131934,CHEBI_131934_CHEBI_131935,enantiomer,enantiomer,100.0,1
