chebi_id,hmdb_id
CHEBI:137313,HMDB0009281
CHEBI:137314,HMDB0009282
CHEBI:137317,HMDB0009314
CHEBI:137318,HMDB0009610
CHEBI:137337,HMDB0252914
CHEBI:137345,HMDB0012567
CHEBI:137369,HMDB0245141
CHEBI:137370,HMDB0003247
CHEBI:137378,HMDB0245592
CHEBI:137426,HMDB0250943
CHEBI:137439,HMDB0006462
CHEBI:137478,HMDB0041679
CHEBI:137503,HMDB0029233
CHEBI:137517,HMDB0041666
CHEBI:137541,HMDB0094704
CHEBI:137593,HMDB0304510
CHEBI:137674,HMDB0029633
CHEBI:137683,HMDB0255176
CHEBI:137685,HMDB0252871
CHEBI:137728,HMDB0005775
CHEBI:137749,HMDB0062423
CHEBI:137937,HMDB0257062
CHEBI:137944,HMDB0031175
CHEBI:137995,HMDB0033736
CHEBI:138000,HMDB0243542
CHEBI:138000,HMDB0001934
CHEBI:138017,HMDB0248268
CHEBI:138017,HMDB0029820
CHEBI:138026,HMDB0006278
CHEBI:138036,HMDB0037545
CHEBI:138042,HMDB0036646
CHEBI:138047,HMDB0302926
CHEBI:138065,HMDB0037532
CHEBI:138125,HMDB0034885
CHEBI:138145,HMDB0008957
CHEBI:138170,HMDB0258580
CHEBI:138224,HMDB0302821
CHEBI:138244,HMDB0249673
CHEBI:138258,HMDB0061650
CHEBI:138314,HMDB0304264
CHEBI:138400,HMDB0246487
CHEBI:138435,HMDB0249253
CHEBI:138502,HMDB0251990
CHEBI:138560,HMDB0001235
CHEBI:138631,HMDB0031039
CHEBI:138644,HMDB0247376
CHEBI:138645,HMDB0004038
CHEBI:138655,HMDB0003689
CHEBI:1387,HMDB0000318
CHEBI:138738,HMDB0252414
CHEBI:138750,HMDB0037011
CHEBI:138751,HMDB0038978
CHEBI:138754,HMDB0037829
CHEBI:138757,HMDB0037604
CHEBI:138758,HMDB0040615
CHEBI:138759,HMDB0030916
CHEBI:138760,HMDB0038200
CHEBI:138761,HMDB0037244
CHEBI:138762,HMDB0034721
CHEBI:138764,HMDB0015589
